,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,num_ingr,B,S,C,L,V,Sa,S*,Lon,Lat
0,2454,5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",0.76,"3- B,S,C","rich cocoa, fatty, bready",3.25,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.7878438,-6.5247123
1,2454,5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",0.76,"3- B,S,C","cocoa, blackberry, full body",3.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,46.4416422,-18.9249604
2,2458,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",0.76,"3- B,S,C","cocoa, vegetal, savory",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-70.3028026,19.0974031
3,2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",0.68,"3- B,S,C","chewy, off, rubbery",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0122737,-18.1239696
4,2542,5150,U.S.A.,2021,India,"Anamalai, batch 1",0.68,"3- B,S,C","milk brownie, macadamia,chewy",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,78.6677428,22.3511148
5,2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",0.72,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-66.1109318,8.0018709
6,2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",0.8,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.2166578,1.5333554
7,797,A. Morin,France,2012,Bolivia,Bolivia,0.7,"4- B,S,C,L","vegetal, nutty",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-64.9912286,-17.0568696
8,797,A. Morin,France,2012,Peru,Peru,0.63,"4- B,S,C,L","fruity, melon, roasty",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
9,1011,A. Morin,France,2013,Panama,Panama,0.7,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-81.1308434,8.559559
10,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",0.7,"4- B,S,C,L","sticky, red fruit, sour",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,46.4416422,-18.9249604
11,1011,A. Morin,France,2013,Brazil,Brazil,0.7,"4- B,S,C,L",mild tobacco,3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
12,1011,A. Morin,France,2013,Ecuador,Equateur,0.7,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-79.3666965,-1.3397668
13,1015,A. Morin,France,2013,Colombia,Colombie,0.7,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-72.9088133,4.099917
14,1015,A. Morin,France,2013,Burma,Birmanie,0.7,"4- B,S,C,L","sticky, smokey, grass",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,95.9999652,17.1750495
15,1015,A. Morin,France,2013,Papua New Guinea,Papua New Guinea,0.7,"4- B,S,C,L","mild fruit, strong smoke",3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,144.2489081,-5.6816069
16,1015,A. Morin,France,2013,Venezuela,Chuao,0.7,"4- B,S,C,L","oily, nut, caramel, raspberry",4.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
17,1019,A. Morin,France,2013,Peru,Piura,0.7,"4- B,S,C,L","green, nutty, cocoa",3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
18,1019,A. Morin,France,2013,Peru,Chanchamayo Province,0.7,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
19,1019,A. Morin,France,2013,Peru,Chanchamayo Province,0.63,"3- B,S,C","sweet, cocoa, tangerine",4.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
20,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",0.7,"4- B,S,C,L","harsh, leather, earthy",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
21,1315,A. Morin,France,2014,Cuba,Cuba,0.7,"4- B,S,C,L","sliglty dry, papaya",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-80.8328748,23.0131338
22,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",0.7,"4- B,S,C,L","nutty, mild choco, roasty",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
